away,home,date
Detroit Lions,Buffalo Bills,2026-09-17
Carolina Panthers,Atlanta Falcons,2026-09-20
New Orleans Saints,Baltimore Ravens,2026-09-20
Minnesota Vikings,Chicago Bears,2026-09-20
Cincinnati Bengals,Houston Texans,2026-09-20
Pittsburgh Steelers,New England Patriots,2026-09-20
Green Bay Packers,New York Jets,2026-09-20
Cleveland Browns,Tampa Bay Buccaneers,2026-09-20
Philadelphia Eagles,Tennessee Titans,2026-09-20
Jacksonville Jaguars,Denver Broncos,2026-09-20
Las Vegas Raiders,Los Angeles Chargers,2026-09-20
Seattle Seahawks,Arizona Cardinals,2026-09-20
Washington Commanders,Dallas Cowboys,2026-09-20
Miami Dolphins,San Francisco 49ers,2026-09-20
Indianapolis Colts,Kansas City Chiefs,2026-09-20
New York Giants,Los Angeles Rams,2026-09-21
