away,home,date
Brentford,AFC Bournemouth,2026-09-12
Nottingham Forest,Aston Villa,2026-09-12
Hull City,Chelsea,2026-09-12
Ipswich Town,Crystal Palace,2026-09-12
Fulham,Liverpool,2026-09-12
Everton,Tottenham Hotspur,2026-09-12
Arsenal,Sunderland,2026-09-12
Brighton and Hove Albion,Coventry City,2026-09-13
Manchester City,Manchester United,2026-09-13
Newcastle United,Leeds United,2026-09-14
